Semester,Project,Reviewer,A,B,C,D,E,F,Total_AI_Findings,Human_Recall,AI_Unique_Rate,Human_Recall_Pct,AI_Unique_Rate_Pct
W21,15,Doug,6,0,9,0,3,0,15,0.0,1.0,0.0%,100.0%
W21,15,Evan,2,0,9,0,3,0,11,0.0,1.0,0.0%,100.0%
W22,03,Alex,10,0,4,1,6,0,15,0.1429,0.9333,14.3%,93.3%
W22,03,Charlie,9,1,4,1,5,0,15,0.2857,0.8667,28.6%,86.7%
W22,03,Doug,10,0,8,1,6,0,19,0.1429,0.9474,14.3%,94.7%
W22,03,Evan,4,0,6,2,5,0,12,0.2857,0.8333,28.6%,83.3%
W22,06,Alex,6,1,7,1,5,0,15,0.2857,0.8667,28.6%,86.7%
W22,06,Charlie,5,3,6,1,3,0,15,0.5714,0.7333,57.1%,73.3%
W22,06,Doug,7,1,8,0,6,0,16,0.1429,0.9375,14.3%,93.8%
W22,06,Evan,3,1,5,2,4,0,11,0.4286,0.7273,42.9%,72.7%
W22,08,Alex,6,1,7,1,9,0,15,0.1818,0.8667,18.2%,86.7%
W22,08,Charlie,7,1,4,3,7,0,15,0.3636,0.7333,36.4%,73.3%
W22,08,Doug,8,0,6,3,8,0,17,0.2727,0.8235,27.3%,82.4%
W22,08,Evan,4,1,3,4,6,0,12,0.4545,0.5833,45.5%,58.3%
W22,09,Alex,7,3,4,1,4,0,15,0.5,0.7333,50.0%,73.3%
W22,09,Charlie,4,3,6,2,3,0,15,0.625,0.6667,62.5%,66.7%
W22,09,Doug,5,3,6,2,3,0,16,0.625,0.6875,62.5%,68.8%
W22,09,Evan,2,3,4,2,3,0,11,0.625,0.5455,62.5%,54.5%
W22,11,Alex,7,2,6,0,1,0,15,0.6667,0.8667,66.7%,86.7%
W22,11,Charlie,6,1,7,1,1,0,15,0.6667,0.8667,66.7%,86.7%
W22,11,Doug,8,1,5,1,1,0,15,0.6667,0.8667,66.7%,86.7%
W22,11,Evan,5,1,4,1,1,0,11,0.6667,0.8182,66.7%,81.8%
W22,12,Alex,7,0,5,3,4,0,15,0.4286,0.8,42.9%,80.0%
W22,12,Charlie,6,1,7,1,5,0,15,0.2857,0.8667,28.6%,86.7%
W22,12,Doug,6,1,7,1,5,0,15,0.2857,0.8667,28.6%,86.7%
W22,12,Evan,3,1,4,2,4,0,10,0.4286,0.7,42.9%,70.0%
W22,13,Alex,5,3,6,1,6,0,15,0.4,0.7333,40.0%,73.3%
W22,13,Charlie,5,2,6,2,6,0,15,0.4,0.7333,40.0%,73.3%
W22,13,Doug,5,3,6,2,5,0,16,0.5,0.6875,50.0%,68.8%
W22,13,Evan,3,2,4,1,7,0,10,0.3,0.7,30.0%,70.0%
W22,14,Alex,8,0,7,0,9,0,15,0.0,1.0,0.0%,100.0%
W22,14,Charlie,6,2,7,1,6,0,16,0.3333,0.8125,33.3%,81.2%
W22,14,Doug,6,3,7,0,6,0,16,0.3333,0.8125,33.3%,81.2%
W22,14,Evan,2,3,6,1,5,0,12,0.4444,0.6667,44.4%,66.7%
W22,16,Alex,8,1,6,0,7,0,15,0.125,0.9333,12.5%,93.3%
W22,16,Charlie,7,2,7,0,6,0,16,0.25,0.875,25.0%,87.5%
W22,16,Doug,8,1,5,1,6,0,15,0.25,0.8667,25.0%,86.7%
W22,16,Evan,3,2,5,0,6,0,10,0.25,0.8,25.0%,80.0%
W22,18,Alex,7,1,6,1,3,0,15,0.4,0.8667,40.0%,86.7%
W22,18,Charlie,6,0,7,2,3,0,15,0.4,0.8667,40.0%,86.7%
W22,18,Doug,9,1,6,1,3,0,17,0.4,0.8824,40.0%,88.2%
W22,18,Evan,5,1,4,1,3,0,11,0.4,0.8182,40.0%,81.8%
W22,19,Alex,6,1,8,1,2,0,16,0.5,0.875,50.0%,87.5%
W22,19,Charlie,6,0,8,1,3,0,15,0.25,0.9333,25.0%,93.3%
W22,19,Doug,8,1,7,0,3,0,16,0.25,0.9375,25.0%,93.8%
W22,19,Evan,6,0,4,2,2,0,12,0.5,0.8333,50.0%,83.3%
W22,21,Alex,4,3,6,2,4,0,15,0.5556,0.6667,55.6%,66.7%
W22,21,Charlie,6,2,5,2,5,0,15,0.4444,0.7333,44.4%,73.3%
W22,21,Doug,6,2,6,2,5,0,16,0.4444,0.75,44.4%,75.0%
W22,21,Evan,5,2,3,3,4,0,13,0.5556,0.6154,55.6%,61.5%
W24,02,Alex,5,3,7,0,7,0,15,0.3,0.8,30.0%,80.0%
W24,02,Charlie,5,3,11,1,6,0,20,0.4,0.8,40.0%,80.0%
W24,02,Doug,4,3,10,0,7,0,17,0.3,0.8235,30.0%,82.4%
W24,02,Evan,2,3,6,0,6,0,11,0.3333,0.7273,33.3%,72.7%
W24,03,Alex,6,2,7,1,9,0,16,0.25,0.8125,25.0%,81.2%
W24,03,Charlie,6,3,6,1,8,0,16,0.3333,0.75,33.3%,75.0%
W24,03,Doug,6,3,11,0,9,0,20,0.25,0.85,25.0%,85.0%
W24,03,Evan,4,3,5,1,8,0,13,0.3333,0.6923,33.3%,69.2%
W24,05,Alex,6,1,8,0,7,0,15,0.125,0.9333,12.5%,93.3%
W24,05,Charlie,5,1,10,0,7,0,16,0.125,0.9375,12.5%,93.8%
W24,05,Doug,4,1,6,0,7,0,11,0.125,0.9091,12.5%,90.9%
W24,05,Evan,4,1,6,0,7,0,11,0.125,0.9091,12.5%,90.9%
W24,07,Alex,11,4,0,0,7,0,15,0.3636,0.7333,36.4%,73.3%
W24,07,Charlie,3,4,8,0,7,0,15,0.3636,0.7333,36.4%,73.3%
W24,07,Doug,9,1,7,3,7,0,20,0.3636,0.8,36.4%,80.0%
W24,07,Evan,2,2,5,1,8,0,10,0.2727,0.7,27.3%,70.0%
W24,09,Alex,7,0,8,0,9,0,15,0.0,1.0,0.0%,100.0%
W24,09,Charlie,6,1,5,2,6,0,14,0.3333,0.7857,33.3%,78.6%
W24,09,Doug,4,3,6,1,5,0,14,0.4444,0.7143,44.4%,71.4%
W24,09,Evan,3,2,8,0,7,0,13,0.2222,0.8462,22.2%,84.6%
W24,11,Alex,3,1,9,2,11,0,15,0.2143,0.8,21.4%,80.0%
W24,11,Charlie,5,4,5,1,9,0,15,0.3571,0.6667,35.7%,66.7%
W24,11,Doug,5,2,8,2,10,0,17,0.2857,0.7647,28.6%,76.5%
W24,11,Evan,2,1,4,2,11,0,9,0.2143,0.6667,21.4%,66.7%
W24,12,Alex,6,0,9,0,2,0,15,0.0,1.0,0.0%,100.0%
W24,12,Charlie,7,0,9,0,2,0,16,0.0,1.0,0.0%,100.0%
W24,12,Doug,7,0,8,0,2,0,15,0.0,1.0,0.0%,100.0%
W24,12,Evan,2,0,7,0,2,0,9,0.0,1.0,0.0%,100.0%
W24,14,Alex,5,3,6,1,8,0,15,0.3333,0.7333,33.3%,73.3%
W24,14,Charlie,5,4,5,2,6,0,16,0.5,0.625,50.0%,62.5%
W24,14,Doug,5,3,4,3,6,0,15,0.5,0.6,50.0%,60.0%
W24,14,Evan,4,2,5,0,10,0,11,0.1667,0.8182,16.7%,81.8%
W24,15,Alex,6,1,7,0,3,0,14,0.25,0.9286,25.0%,92.9%
W24,15,Charlie,6,1,9,0,3,0,16,0.25,0.9375,25.0%,93.8%
W24,15,Doug,6,1,9,0,3,0,16,0.25,0.9375,25.0%,93.8%
W24,15,Evan,5,1,4,1,2,0,11,0.5,0.8182,50.0%,81.8%
W24,16,Alex,7,1,6,1,6,0,15,0.25,0.8667,25.0%,86.7%
W24,16,Charlie,6,2,7,0,6,0,15,0.25,0.8667,25.0%,86.7%
W24,16,Doug,6,2,7,1,5,0,16,0.375,0.8125,37.5%,81.2%
W24,16,Evan,3,3,3,0,5,0,9,0.375,0.6667,37.5%,66.7%
W25,01,Alex,7,1,5,1,8,0,14,0.2,0.8571,20.0%,85.7%
W25,01,Charlie,5,2,7,0,8,0,14,0.2,0.8571,20.0%,85.7%
W25,01,Doug,5,2,10,0,8,0,17,0.2,0.8824,20.0%,88.2%
W25,01,Evan,3,0,3,2,7,1,8,0.2222,0.75,22.2%,75.0%
W25,02,Alex,5,1,9,0,3,0,15,0.25,0.9333,25.0%,93.3%
W25,02,Charlie,5,2,8,0,2,0,15,0.5,0.8667,50.0%,86.7%
W25,02,Doug,5,2,8,0,2,0,15,0.5,0.8667,50.0%,86.7%
W25,02,Evan,4,2,7,0,2,0,13,0.5,0.8462,50.0%,84.6%
W25,03,Alex,10,4,0,0,7,1,14,0.3636,0.7143,36.4%,71.4%
W25,03,Charlie,6,0,6,3,9,0,15,0.25,0.8,25.0%,80.0%
W25,03,Doug,7,0,7,1,11,0,15,0.0833,0.9333,8.3%,93.3%
W25,03,Evan,4,0,4,1,11,0,9,0.0833,0.8889,8.3%,88.9%
W25,04,Alex,6,0,8,1,15,0,15,0.0625,0.9333,6.2%,93.3%
W25,04,Charlie,8,0,10,0,16,0,18,0.0,1.0,0.0%,100.0%
W25,04,Doug,7,0,8,1,15,0,16,0.0625,0.9375,6.2%,93.8%
W25,04,Evan,7,0,4,0,16,0,11,0.0,1.0,0.0%,100.0%
W25,05,Alex,11,2,2,0,5,0,15,0.2857,0.8667,28.6%,86.7%
W25,05,Charlie,8,2,7,0,5,0,17,0.2857,0.8824,28.6%,88.2%
W25,05,Doug,9,3,7,0,4,0,19,0.4286,0.8421,42.9%,84.2%
W25,05,Evan,2,2,5,0,5,0,9,0.2857,0.7778,28.6%,77.8%
W25,06,Alex,9,0,6,0,11,0,15,0.0,1.0,0.0%,100.0%
W25,06,Charlie,7,1,6,1,9,0,15,0.1818,0.8667,18.2%,86.7%
W25,06,Doug,6,1,9,1,9,0,17,0.1818,0.8824,18.2%,88.2%
W25,06,Evan,4,0,5,2,9,0,11,0.1818,0.8182,18.2%,81.8%
W25,10,Alex,7,1,7,0,3,0,15,0.25,0.9333,25.0%,93.3%
W25,10,Charlie,8,1,5,1,2,0,15,0.5,0.8667,50.0%,86.7%
W25,10,Doug,6,1,7,1,2,0,15,0.5,0.8667,50.0%,86.7%
W25,10,Evan,4,0,4,1,3,0,9,0.25,0.8889,25.0%,88.9%
W25,11,Alex,5,2,6,2,7,0,15,0.3636,0.7333,36.4%,73.3%
W25,11,Charlie,5,2,8,1,8,0,16,0.2727,0.8125,27.3%,81.2%
W25,11,Doug,6,1,6,2,8,0,15,0.2727,0.8,27.3%,80.0%
W25,11,Evan,3,1,6,0,10,0,10,0.0909,0.9,9.1%,90.0%
W25,12,Alex,8,0,6,1,8,0,15,0.1111,0.9333,11.1%,93.3%
W25,12,Charlie,6,0,8,1,8,0,15,0.1111,0.9333,11.1%,93.3%
W25,12,Doug,5,1,8,1,7,0,15,0.2222,0.8667,22.2%,86.7%
W25,12,Evan,9,0,4,0,9,0,13,0.0,1.0,0.0%,100.0%
W25,13,Alex,9,2,3,1,11,0,15,0.2143,0.8,21.4%,80.0%
W25,13,Charlie,6,4,6,1,9,0,17,0.3571,0.7059,35.7%,70.6%
W25,13,Doug,5,4,5,1,9,0,15,0.3571,0.6667,35.7%,66.7%
W25,13,Evan,3,4,1,3,7,0,11,0.5,0.3636,50.0%,36.4%
W25,14,Alex,7,0,8,0,5,0,15,0.0,1.0,0.0%,100.0%
W25,14,Charlie,6,2,7,0,3,0,15,0.4,0.8667,40.0%,86.7%
W25,14,Doug,7,1,10,0,4,0,18,0.2,0.9444,20.0%,94.4%
W25,14,Evan,6,1,6,0,4,0,13,0.2,0.9231,20.0%,92.3%
W25,15,Alex,6,1,8,0,4,0,15,0.2,0.9333,20.0%,93.3%
W25,15,Charlie,5,2,8,0,3,0,15,0.4,0.8667,40.0%,86.7%
W25,15,Doug,6,1,8,0,4,0,15,0.2,0.9333,20.0%,93.3%
W25,15,Evan,4,1,6,1,3,0,12,0.4,0.8333,40.0%,83.3%
W25,17,Alex,4,1,9,1,4,0,15,0.3333,0.8667,33.3%,86.7%
W25,17,Charlie,8,1,8,1,4,0,18,0.3333,0.8889,33.3%,88.9%
W25,17,Doug,8,2,7,0,4,0,17,0.3333,0.8824,33.3%,88.2%
W25,17,Evan,4,0,3,1,5,0,8,0.1667,0.875,16.7%,87.5%
W21,01,Alex,8,0,5,2,3,0,15,0.4,0.8667,40.0%,86.7%
W21,01,Charlie,8,0,7,0,5,0,15,0.0,1.0,0.0%,100.0%
W21,01,Doug,8,0,7,0,5,0,15,0.0,1.0,0.0%,100.0%
W21,01,Evan,6,1,8,0,4,0,15,0.2,0.9333,20.0%,93.3%
W21,06,Alex,7,0,5,3,7,0,15,0.3,0.8,30.0%,80.0%
W21,06,Charlie,6,0,6,3,6,0,15,0.3333,0.8,33.3%,80.0%
W21,06,Doug,5,2,5,3,4,0,15,0.5556,0.6667,55.6%,66.7%
W21,06,Evan,4,0,3,4,6,0,11,0.4,0.6364,40.0%,63.6%
W21,11,Alex,6,1,8,0,8,0,15,0.1111,0.9333,11.1%,93.3%
W21,11,Charlie,6,2,7,0,7,0,15,0.2222,0.8667,22.2%,86.7%
W21,11,Doug,7,2,6,0,7,0,15,0.2222,0.8667,22.2%,86.7%
W21,11,Evan,4,1,5,1,7,0,11,0.2222,0.8182,22.2%,81.8%
W21,16,Alex,5,2,8,0,1,0,15,0.6667,0.8667,66.7%,86.7%
W21,16,Charlie,5,2,8,0,1,0,15,0.6667,0.8667,66.7%,86.7%
W21,16,Doug,6,2,7,0,1,0,15,0.6667,0.8667,66.7%,86.7%
W21,16,Evan,1,2,6,0,1,0,9,0.6667,0.7778,66.7%,77.8%
W22,01,Alex,4,2,7,1,8,1,14,0.2727,0.7857,27.3%,78.6%
W22,01,Charlie,3,3,8,0,8,1,14,0.2727,0.7857,27.3%,78.6%
W22,01,Doug,5,2,8,1,8,1,16,0.2727,0.8125,27.3%,81.2%
W22,01,Evan,4,1,5,1,9,1,11,0.1818,0.8182,18.2%,81.8%
W22,02,Alex,8,0,5,2,6,0,15,0.25,0.8667,25.0%,86.7%
W22,02,Charlie,12,3,0,0,5,0,15,0.375,0.8,37.5%,80.0%
W22,02,Doug,6,2,6,1,5,0,15,0.375,0.8,37.5%,80.0%
W22,02,Evan,5,2,4,2,4,0,13,0.5,0.6923,50.0%,69.2%
W22,04,Alex,6,2,6,1,6,0,15,0.3333,0.8,33.3%,80.0%
W22,04,Charlie,6,3,6,0,6,0,15,0.3333,0.8,33.3%,80.0%
W22,04,Doug,8,2,3,2,5,0,15,0.4444,0.7333,44.4%,73.3%
W22,04,Evan,4,2,5,2,5,0,13,0.4444,0.6923,44.4%,69.2%
W22,05,Alex,7,1,5,1,5,0,14,0.2857,0.8571,28.6%,85.7%
W22,05,Charlie,7,3,5,0,4,0,15,0.4286,0.8,42.9%,80.0%
W22,05,Doug,7,3,5,0,4,0,15,0.4286,0.8,42.9%,80.0%
W22,05,Evan,4,2,5,0,5,0,11,0.2857,0.8182,28.6%,81.8%
W22,07,Alex,5,2,7,1,6,0,15,0.3333,0.8,33.3%,80.0%
W22,07,Charlie,5,2,6,1,6,0,14,0.3333,0.7857,33.3%,78.6%
W22,07,Doug,7,1,6,2,6,0,16,0.3333,0.8125,33.3%,81.2%
W22,07,Evan,4,1,3,2,6,0,10,0.3333,0.7,33.3%,70.0%
W22,10,Alex,6,2,7,0,6,0,15,0.25,0.8667,25.0%,86.7%
W22,10,Charlie,6,2,7,0,6,0,15,0.25,0.8667,25.0%,86.7%
W22,10,Doug,6,2,7,0,6,0,15,0.25,0.8667,25.0%,86.7%
W22,10,Evan,6,1,3,1,6,0,11,0.25,0.8182,25.0%,81.8%
W22,15,Alex,4,4,7,0,7,0,15,0.3636,0.7333,36.4%,73.3%
W22,15,Charlie,3,4,6,2,5,0,15,0.5455,0.6,54.5%,60.0%
W22,15,Doug,5,3,7,1,7,0,16,0.3636,0.75,36.4%,75.0%
W22,15,Evan,2,3,4,2,6,0,11,0.4545,0.5455,45.5%,54.5%
W22,17,Alex,6,1,6,2,7,0,15,0.3,0.8,30.0%,80.0%
W22,17,Charlie,4,2,9,0,8,0,15,0.2,0.8667,20.0%,86.7%
W22,17,Doug,6,2,7,0,8,0,15,0.2,0.8667,20.0%,86.7%
W22,17,Evan,4,2,6,0,8,0,12,0.2,0.8333,20.0%,83.3%
W22,20,Alex,7,2,5,1,1,0,15,0.75,0.8,75.0%,80.0%
W22,20,Charlie,7,2,5,1,1,0,15,0.75,0.8,75.0%,80.0%
W22,20,Doug,5,2,9,1,1,0,17,0.75,0.8235,75.0%,82.4%
W22,20,Evan,3,1,5,1,2,0,10,0.5,0.8,50.0%,80.0%
W22,22,Alex,7,0,8,0,2,0,15,0.0,1.0,0.0%,100.0%
W22,22,Charlie,6,0,9,0,2,0,15,0.0,1.0,0.0%,100.0%
W22,22,Doug,8,0,7,0,2,0,15,0.0,1.0,0.0%,100.0%
W22,22,Evan,3,0,6,1,1,0,10,0.5,0.9,50.0%,90.0%
W22,23,Alex,8,1,4,2,8,0,15,0.2727,0.8,27.3%,80.0%
W22,23,Charlie,7,1,5,2,8,0,15,0.2727,0.8,27.3%,80.0%
W22,23,Doug,6,3,6,2,6,0,17,0.4545,0.7059,45.5%,70.6%
W22,23,Evan,4,3,3,1,7,0,11,0.3636,0.6364,36.4%,63.6%
W24,01,Alex,6,2,6,1,7,0,15,0.3,0.8,30.0%,80.0%
W24,01,Charlie,4,3,8,0,7,0,15,0.3,0.8,30.0%,80.0%
W24,01,Doug,2,3,7,0,7,0,12,0.3,0.75,30.0%,75.0%
W24,01,Evan,2,3,7,0,7,0,12,0.3,0.75,30.0%,75.0%
W24,04,Alex,6,4,7,0,7,0,17,0.3636,0.7647,36.4%,76.5%
W24,04,Charlie,6,4,7,0,7,0,17,0.3636,0.7647,36.4%,76.5%
W24,04,Doug,10,4,2,1,6,0,17,0.4545,0.7059,45.5%,70.6%
W24,04,Evan,4,4,6,0,7,0,14,0.3636,0.7143,36.4%,71.4%
W24,06,Alex,3,2,10,0,12,0,15,0.1429,0.8667,14.3%,86.7%
W24,06,Charlie,6,3,9,0,11,0,18,0.2143,0.8333,21.4%,83.3%
W24,06,Doug,5,1,9,1,12,0,16,0.1429,0.875,14.3%,87.5%
W24,06,Evan,3,1,2,3,10,0,9,0.2857,0.5556,28.6%,55.6%
W24,08,Alex,6,0,8,1,2,0,15,0.3333,0.9333,33.3%,93.3%
W24,08,Charlie,8,0,9,1,2,0,18,0.3333,0.9444,33.3%,94.4%
W24,08,Doug,8,0,8,1,2,0,17,0.3333,0.9412,33.3%,94.1%
W24,08,Evan,7,0,4,1,2,0,12,0.3333,0.9167,33.3%,91.7%
W24,10,Alex,8,0,7,0,7,0,15,0.0,1.0,0.0%,100.0%
W24,10,Charlie,7,1,7,0,6,0,15,0.1429,0.9333,14.3%,93.3%
W24,10,Doug,6,2,10,0,5,0,18,0.2857,0.8889,28.6%,88.9%
W24,10,Evan,5,2,3,1,4,0,11,0.4286,0.7273,42.9%,72.7%
W24,13,Alex,9,2,4,1,13,0,16,0.1875,0.8125,18.8%,81.2%
W24,13,Charlie,5,3,6,1,12,0,15,0.25,0.7333,25.0%,73.3%
W24,13,Doug,6,4,4,1,11,0,15,0.3125,0.6667,31.2%,66.7%
W24,13,Evan,2,3,6,1,12,0,12,0.25,0.6667,25.0%,66.7%
W25,07,Alex,6,2,6,1,7,0,15,0.3,0.8,30.0%,80.0%
W25,07,Charlie,7,1,9,1,8,0,18,0.2,0.8889,20.0%,88.9%
W25,07,Doug,5,2,7,1,7,0,15,0.3,0.8,30.0%,80.0%
W25,07,Evan,6,1,7,1,8,0,15,0.2,0.8667,20.0%,86.7%
W25,08,Alex,5,2,7,1,7,0,15,0.3,0.8,30.0%,80.0%
W25,08,Charlie,6,1,11,1,8,0,19,0.2,0.8947,20.0%,89.5%
W25,08,Doug,6,2,7,0,8,0,15,0.2,0.8667,20.0%,86.7%
W25,08,Evan,4,1,6,1,8,0,12,0.2,0.8333,20.0%,83.3%
W25,09,Alex,6,2,7,0,4,0,15,0.3333,0.8667,33.3%,86.7%
W25,09,Charlie,6,2,7,0,4,0,15,0.3333,0.8667,33.3%,86.7%
W25,09,Doug,8,2,7,0,4,0,17,0.3333,0.8824,33.3%,88.2%
W25,09,Evan,6,2,9,0,4,0,17,0.3333,0.8824,33.3%,88.2%
W25,16,Alex,7,0,7,1,7,0,15,0.125,0.9333,12.5%,93.3%
W25,16,Charlie,6,1,8,0,7,0,15,0.125,0.9333,12.5%,93.3%
W25,16,Doug,6,0,8,1,7,0,15,0.125,0.9333,12.5%,93.3%
W25,16,Evan,5,0,5,0,8,0,10,0.0,1.0,0.0%,100.0%
